HEZ,914000
HEW,776600
HEX,750600
HYD,319400
HHB,269100
HFN,608500
XHQ,608511
XHP,608507
HAP,684500
HIG,331400
HHY,600900
HIP,691900
HEI,788700
HII,686600
XHZ,686603
HGM,520200
HIL,223100
HLS,553900
HNK,187000
HIN,239800
HNA,588000
XHW,400807
XHY,608660
HIT,608600
HTO,235600
HID,257200
HCB,536400
HDG,286000
HLB,523600
HLF,998300
HFX,841100
HLG,452100
HLM,530800
HLE,967600
HLW,963000
HLC,998100
HLU,998200
XAM,353003
XAV,353002
HWH,756800
ZHR,060900
HHD,243700
XHM,842312
HME,594700
HMD,545000
HUP,293700
HDH,141300
HIA,103300
HMT,503700
HAM,594000
HYW,559100
HEF,874400
HTH,276700
THW,452300
HRR,202700
HOT,314600
HUS,711400
HNT,892100
HUN,610800
HOC,688000
HVH,080800
HOD,290100
XHO,613100
XEE,341045
HOL,594100
HLY,973800
HMN,697900
HON,571700
HOY,843600
HPA,541800
HYB,479400
XHJ,521019
HOK,552300
HOO,219300
HPE,243200
HOP,282800
HPT,418900
XHB,842311
HOR,536500
HGI,818100
HRH,530900
HWI,872000
HSC,239900
HGN,230300
HOU,556300
HOV,527300
HOW,807100
HOZ,173400
HWW,156300
HOX,102300
HYK,219400
HGY,601200
HRY,740100
XHU,601264
HRL,445800
HRO,687900
HLN,153300
HRD,737400
HWM,680400
HWN,682700
HBP,821200
HNB,517400
HRN,601500
XHS,601514
XHE,601512
HRW,139700
HPD,154300
HSY,556200
HRM,514000
HUR,546300
HPL,800900
HTW,924600
HRS,849900
XLB,849905
HTE,139800
HTC,286100
XHF,501661
HFS,652800
HGR,510700
XHG,506000
XHX,510702
XHI,510764
HUT,809900
HIR,210500
XHT,760162
HPK,295600
XBE,295601
HWX,323400
HXX,709000
HTR,986900
HWF,318200
HWO,318100
HWA,317900
HWE,318000
HAF,709100
HWV,984600
ZHJ,078200
HKN,186200
HUL,812600
HUU,034000
XBG,812661
HCT,255800
HGD,307200
HUB,809800
HNX,223500
HSE,394100
HUY,216000
HKH,963400
HWY,305400
HDB,756900
HYC,282900
HYT,295900
HYR,528900
HKM,631000
XHD,984571
HYN,984500
